frame,track_id,class,score,status,left,top,right,bottom,X_pred,Y_pred,Z_pred
0,1,car,0.9352978467941284,New,0,222,287,364,-0.5057488679885864,0.20148789882659912,0.7763869762420654
0,2,car,0.7903856635093689,New,1076,149,1197,188,3.4242663383483887,0.0481940321624279,4.547409534454346
0,3,pedestrian,0.7898473739624023,New,939,144,987,289,0.5631086826324463,0.1702156960964203,1.1092922687530518
0,4,pedestrian,0.7726216912269592,New,574,149,619,308,-0.00918170902878046,0.1544051617383957,0.8562958240509033
0,5,car,0.7472460269927979,New,447,169,481,196,-1.0665514469146729,0.11796361207962036,5.383330345153809
0,6,pedestrian,0.6448554396629333,New,109,181,145,247,-0.9611022472381592,0.1339540034532547,1.4243831634521484
0,7,pedestrian,0.60990971326828,New,558,160,593,295,-0.04021109640598297,0.1610804796218872,0.9947458505630493
1,1,car,0.9331992268562316,New,0,222,287,364,-0.49627596139907837,0.1977139413356781,0.7618448734283447
1,2,car,0.7897220849990845,New,1062,148,1185,189,3.320035219192505,0.054288364946842194,4.519339084625244
1,3,pedestrian,0.8695068955421448,New,943,146,1011,290,0.5850733518600464,0.17178459465503693,1.1092922687530518
1,4,pedestrian,0.6743323802947998,New,573,152,618,312,-0.011832008138298988,0.18130268156528473,0.9748774170875549
1,5,car,0.7682350277900696,New,447,169,481,196,-1.058766484260559,0.11710256338119507,5.344036102294922
1,6,pedestrian,0.7345337271690369,New,116,180,154,250,-0.9358819723129272,0.1386488974094391,1.410660743713379
2,1,car,0.9331936836242676,New,0,222,286,364,-0.4991520345211029,0.19864410161972046,0.7654290795326233
2,2,car,0.7671226859092712,New,1052,149,1176,189,3.2393171787261963,0.053955309092998505,4.491612911224365
2,3,pedestrian,0.8914642333984375,New,943,146,1022,290,0.5928041934967041,0.17152473330497742,1.1076141595840454
2,4,pedestrian,0.8163627982139587,New,574,155,618,313,-0.023572111502289772,0.38646137714385986,2.0623462200164795
2,5,car,0.7636003494262695,New,447,169,481,196,-1.043532371520996,0.11541762948036194,5.267143249511719
2,6,pedestrian,0.6893622279167175,New,120,180,155,250,-0.9150266051292419,0.13628557324409485,1.3866153955459595
3,1,car,0.9295441508293152,Confirmed,0,223,286,364,-0.49733221530914307,0.19791987538337708,0.7626384496688843
3,2,car,0.7967814803123474,Confirmed,1043,150,1162,190,3.166261911392212,0.06030791997909546,4.491612911224365
3,4,pedestrian,0.7954671382904053,Confirmed,576,156,619,310,-0.012458655051887035,0.24513228237628937,1.3384513854980469
3,5,car,0.7677275538444519,Confirmed,447,170,481,196,-1.043532371520996,0.11541762948036194,5.267143249511719
3,6,pedestrian,0.7210261225700378,Confirmed,125,180,158,253,-0.8986719846725464,0.14083530008792877,1.3736077547073364
3,9,pedestrian,0.6491531133651733,New,177,175,197,274,-0.8569007515907288,0.19208377599716187,1.4526447057724
4,1,car,0.9288200736045836,Confirmed,0,224,286,364,-0.7651265263557434,0.30449214577674866,1.1732900142669678
4,2,car,0.6620280742645264,Confirmed,1035,152,1148,191,3.134847640991211,0.06748862564563751,4.547409534454346
4,4,pedestrian,0.7875124669075012,Confirmed,576,157,619,310,-0.007351547945290804,0.1446465700864792,0.7897874116897583
4,5,car,0.8013126254081726,Confirmed,447,171,481,197,-1.0704870223999023,0.12604080140590668,5.403194904327393
4,6,pedestrian,0.7138158613443375,Confirmed,126,180,159,253,-0.8032885193824768,0.12616002559661865,1.2304755449295044
4,10,pedestrian,0.8382510542869568,New,998,142,1053,289,0.653247058391571,0.16817718744277954,1.0960073471069336
4,11,pedestrian,0.7417499423027039,New,177,175,203,277,-0.8457032442092896,0.19707424938678741,1.4440492391586304
5,1,car,0.9272004961967468,Confirmed,0,225,286,364,-0.7725549340248108,0.3074483871459961,1.1846811771392822
5,2,car,0.655407793521881,Confirmed,1030,153,1143,192,3.1026899814605713,0.07392015308141708,4.547409534454346
5,4,pedestrian,0.7796373422384262,Confirmed,577,157,619,310,-0.006247168872505426,0.13302317261695862,0.7263223528862
5,5,car,0.79597008228302,Confirmed,447,172,480,198,-1.0397766828536987,0.12938573956489563,5.229520797729492
5,6,pedestrian,0.7066777027308941,Confirmed,128,180,160,254,-0.7861442565917969,0.12557868659496307,1.2081401348114014
5,10,pedestrian,0.8706001043319702,New,1008,143,1078,288,0.6803740859031677,0.16662707924842834,1.0960073471069336
5,11,pedestrian,0.7615661025047302,New,178,174,208,277,-0.8412353992462158,0.197463721036911,1.4469029903411865
6,1,car,0.9267517924308776,Confirmed,0,226,286,364,-0.4779168665409088,0.1901932805776596,0.7328658103942871
6,2,car,0.6488537155866623,Confirmed,1026,154,1138,192,3.092959403991699,0.07438215613365173,4.575830936431885
6,4,pedestrian,0.7718409688160419,Confirmed,577,157,619,310,-0.006247168872505426,0.13302317261695862,0.7263223528862
