frame,id,class,score,left,top,right,bottom,metric_status
0,1,cyclist,0.7901636362075806,346,170,409,310,TP
0,2,car,0.788131594657898,1053,186,1153,222,TP
0,3,pedestrian,0.768704354763031,213,157,237,218,TP
0,4,pedestrian,0.7586645483970642,446,164,477,252,TP
0,5,pedestrian,0.7386839985847473,246,168,266,218,TP
0,6,car,0.7350536584854126,1131,187,1198,223,FP
0,7,pedestrian,0.7329103946685791,279,161,306,228,TP
0,8,car,0.6841303110122681,962,185,1063,221,TP
1,1,cyclist,0.7762818932533264,327,169,395,315,TP
1,2,car,0.7875951528549194,1053,185,1153,221,TP
1,3,pedestrian,0.7361472845077515,214,157,237,218,TP
1,4,pedestrian,0.7434912574291229,446,164,477,252,TP
1,5,pedestrian,0.7089873552322388,245,164,266,217,TP
1,6,car,0.7226668000221252,1131,187,1198,223,FP
1,7,pedestrian,0.7181920409202576,279,161,306,227,TP
1,8,car,0.6900680661201477,962,185,1063,221,TP
2,2,car,0.7904630303382874,1053,185,1153,221,TP
2,3,pedestrian,0.7028715014457703,214,156,237,217,TP
2,4,pedestrian,0.7286214322805404,446,164,477,252,TP
2,5,pedestrian,0.6767343282699585,245,163,266,217,TP
2,6,car,0.7290393114089966,1131,187,1198,223,FP
2,7,pedestrian,0.5255936980247498,280,161,305,227,TP
2,8,car,0.6964383125305176,962,185,1063,221,TP
2,10,cyclist,0.8092241883277893,297,170,378,330,TP
2,11,pedestrian,0.8304868936538696,459,163,499,254,TP
3,2,car,0.790563702583313,1053,185,1152,221,TP
3,3,pedestrian,0.6746928691864014,214,156,237,218,TP
3,4,pedestrian,0.7140490036349296,446,164,477,252,FP
3,5,pedestrian,0.6553871631622314,245,162,266,217,TP
3,6,car,0.7358361482620239,1131,187,1198,223,FP
3,7,pedestrian,0.5150818240642547,280,161,305,227,TP
3,8,car,0.6515060067176819,962,184,1063,220,TP
3,10,cyclist,0.8155589401721954,273,174,359,339,TP
3,11,pedestrian,0.8324355483055115,462,164,504,255,TP
4,2,car,0.7959012389183044,1053,185,1152,221,TP
4,3,pedestrian,0.7750285267829895,213,156,236,218,TP
4,4,pedestrian,0.699768023562231,446,164,477,252,FP
4,5,pedestrian,0.6674525141716003,245,163,266,218,TP
4,6,car,0.7285889983177185,1131,187,1199,223,FP
4,7,pedestrian,0.5047801875829696,280,161,305,227,TP
4,8,car,0.6657901406288147,962,184,1063,220,TP
4,10,cyclist,0.8065959215164185,247,176,336,349,TP
4,11,pedestrian,0.8613526821136475,467,164,509,255,TP
5,2,car,0.7995566725730896,1053,185,1152,221,TP
5,3,pedestrian,0.725642740726471,213,157,236,219,TP
5,4,pedestrian,0.6857726630909864,446,164,477,252,FP
5,5,pedestrian,0.6541034638881683,245,163,266,218,TP
5,6,car,0.7295302152633667,1131,187,1199,223,FP
5,7,pedestrian,0.5548014640808105,284,160,307,224,TP
5,8,car,0.6689945459365845,962,184,1063,221,TP
5,10,cyclist,0.8188722133636475,219,179,313,358,FP
5,11,pedestrian,0.8387156128883362,473,163,513,255,TP
6,2,car,0.7961702942848206,1053,185,1152,221,TP
6,3,pedestrian,0.7111298859119415,213,157,236,219,TP
6,4,pedestrian,0.6720572098291666,446,164,477,252,FP
6,5,pedestrian,0.3560478389263153,245,159,266,210,TP
6,6,car,0.7247992157936096,1131,187,1199,223,FP
6,7,pedestrian,0.6816912889480591,284,161,308,226,TP
6,8,car,0.6893014311790466,962,184,1063,221,TP
6,10,cyclist,0.82887864112854,187,181,288,364,FP
6,11,pedestrian,0.7706941366195679,479,163,517,255,TP
6,12,pedestrian,0.6530855298042297,324,160,347,229,TP
7,2,car,0.7944114804267883,1053,185,1152,221,TP
7,3,pedestrian,0.5524753332138062,213,155,236,216,TP
7,4,pedestrian,0.6586160656325832,446,164,477,252,FP
7,5,pedestrian,0.6775544881820679,246,161,268,214,TP
7,6,car,0.7303876876831055,1130,187,1198,223,FP
7,7,pedestrian,0.6360848546028137,285,161,309,227,TP
7,8,car,0.7195042967796326,962,184,1063,221,TP
7,10,cyclist,0.8463400900363922,148,182,258,368,FP
7,11,pedestrian,0.8281676769256592,484,163,523,255,TP
7,12,pedestrian,0.6264454126358032,325,160,349,229,TP
8,2,car,0.789833664894104,1053,185,1152,221,TP
8,3,pedestrian,0.7287030220031738,213,156,236,218,TP
8,4,pedestrian,0.6454437443199316,446,164,477,252,FP
8,5,pedestrian,0.7191506624221802,246,162,268,216,TP
8,6,car,0.7196516394615173,1130,187,1198,223,FP
8,7,pedestrian,0.6822072863578796,286,161,310,228,TP
8,8,car,0.6909069418907166,962,184,1063,221,TP
8,10,cyclist,0.8294132882356644,127,189,237,375,FP
8,11,pedestrian,0.8432714343070984,488,164,529,256,TP
8,12,pedestrian,0.6985061764717102,327,160,352,229,TP
9,2,car,0.7969788312911987,1053,185,1152,221,TP
9,3,pedestrian,0.7575127482414246,212,157,236,219,TP
9,4,pedestrian,0.6325348694335329,446,164,477,252,FP
9,5,pedestrian,0.7023947834968567,247,162,269,218,TP
9,6,car,0.7191475629806519,1130,187,1199,223,FP
9,7,pedestrian,0.707095742225647,289,161,313,229,TP
9,8,car,0.6745285987854004,962,184,1063,221,TP
9,10,cyclist,0.8128250224709511,106,195,216,382,FP
9,11,pedestrian,0.7965125441551208,492,164,533,257,TP
9,12,pedestrian,0.6615515351295471,330,161,355,230,TP
9,14,cyclist,0.8418037295341492,0,170,184,367,TP
10,2,car,0.7881923913955688,1053,185,1153,221,TP
10,3,pedestrian,0.7774242162704468,212,157,236,220,TP
10,4,pedestrian,0.6198841720448622,446,164,477,252,FP
10,5,pedestrian,0.6774566769599915,246,163,269,219,TP
